citizen_id,first_name,last_name,date_of_birth,nin,state_of_origin,lga,ward
96223,Obinna,Okoro,1967-04-26,24455022961,Abia,Ohafia,Ward 1
79531,Ifeoma,Onyema,1944-02-12,67525459910,Abia,Umuahia South,Ward 1
20693,Obinna,Okafor,1970-03-26,67976438156,Abia,Aba North,Ward 4
97442,Obinna,Okoro,1963-08-21,36900343244,Imo,Umuahia North,Ward 1
66446,Emeka,Umeh,1962-04-24,68388516060,Imo,Umuahia North,Ward 3
66267,Chika,Onyema,1965-10-29,64160529751,Imo,Umuahia North,Ward 2
87184,Uche,Obi,1959-07-18,16453521818,Enugu,Umuahia South,Ward 3
94599,Emeka,Nwosu,1955-10-01,12432921277,Enugu,Isiala Ngwa North,Ward 4
83989,Chika,Otti,1970-07-21,52717744905,Enugu,Umuahia North,Ward 3
69233,Chinedu,Okoro,1960-09-17,54119986798,Enugu,Umuahia North,Ward 4
95437,Ifeoma,Otti,1965-08-23,97820715182,Abia,Umuahia South,Ward 4
78690,Bright,Ndukwe,1959-09-17,25546659051,Imo,Umuahia North,Ward 4
43029,Chika,Umeh,1952-09-29,51925462914,Enugu,Aba South,Ward 3
97833,Bright,Eze,1945-09-24,68505423573,Abia,Umuahia South,Ward 2
48770,Ngozi,Obi,1943-06-18,88059296222,Enugu,Isiala Ngwa North,Ward 2
15726,Uche,Otti,1959-08-19,37947383473,Imo,Ohafia,Ward 4
46932,Uche,Obi,1960-09-16,86239240758,Abia,Ohafia,Ward 1
20993,Emeka,Ibekwe,1952-10-14,78261375060,Imo,Isiala Ngwa North,Ward 3
60615,Ngozi,Otti,1950-07-29,30515220472,Enugu,Aba South,Ward 4
10688,Ngozi,Okoro,1967-08-08,43289861434,Abia,Umuahia North,Ward 2
93748,Chika,Okafor,1958-10-31,11798089324,Imo,Umuahia North,Ward 3
84798,Uche,Umeh,1950-10-16,18518888806,Imo,Umuahia North,Ward 4
43246,Chinedu,Otti,1956-09-29,15319520585,Enugu,Umuahia South,Ward 4
92802,Emeka,Umeh,1961-06-19,17043030548,Imo,Isiala Ngwa North,Ward 4
14799,Ifeoma,Ibekwe,1951-05-13,50541566765,Abia,Aba South,Ward 4
78062,Obinna,Eze,1956-06-23,61692845115,Enugu,Aba North,Ward 3
88986,Uche,Umeh,1960-01-01,75705964016,Imo,Isiala Ngwa North,Ward 2
28714,Chika,Okafor,1941-05-25,02135569092,Enugu,Aba South,Ward 3
68188,Ngozi,Ndukwe,1956-09-08,28565431027,Enugu,Aba South,Ward 1
44116,Ada,Nwosu,1951-09-28,94731217271,Enugu,Aba North,Ward 3
82089,Bright,Ibekwe,1942-11-29,42258313237,Abia,Aba North,Ward 3
82305,Emeka,Ndukwe,1960-12-18,11467866912,Imo,Ohafia,Ward 1
71057,Bright,Otti,1960-03-08,28922680182,Imo,Umuahia South,Ward 2
39552,Amaka,Obi,1954-06-22,41438424981,Enugu,Ohafia,Ward 2
86106,Emeka,Umeh,1966-07-19,99590010943,Enugu,Aba South,Ward 1
92203,Bright,Ibekwe,1962-05-04,47364710276,Imo,Aba South,Ward 2
89516,Emeka,Otti,1955-04-05,55625881537,Abia,Aba North,Ward 4
28465,Ngozi,Okoro,1951-02-13,46963259532,Imo,Isiala Ngwa North,Ward 4
50441,Ada,Okoro,1962-05-16,16873395004,Imo,Isiala Ngwa North,Ward 4
80345,Chinedu,Eze,1952-10-25,62456506098,Abia,Aba North,Ward 3
60639,Bright,Okafor,1943-04-19,84991216558,Imo,Umuahia South,Ward 2
76731,Uche,Obi,1967-01-09,00025787298,Abia,Aba North,Ward 3
61505,Chika,Ibekwe,1947-04-16,95888794705,Imo,Ohafia,Ward 1
86507,Obinna,Okoro,1958-09-07,97499309728,Enugu,Ohafia,Ward 4
99224,Ifeoma,Okoro,1946-08-18,91307562636,Enugu,Isiala Ngwa North,Ward 4
28098,Bright,Nwosu,1942-10-17,85786527858,Imo,Ohafia,Ward 3
73462,Ifeoma,Nwosu,1967-05-14,48434437575,Enugu,Ohafia,Ward 3
25974,Chika,Obi,1952-11-28,66524041574,Enugu,Aba South,Ward 2
80592,Obinna,Obi,1949-01-23,42199330833,Abia,Umuahia North,Ward 4
71918,Ngozi,Umeh,1954-10-25,08267734540,Abia,Ohafia,Ward 2
14888,Emeka,Onyema,1964-01-02,20672400499,Abia,Aba North,Ward 3
94058,Bright,Obi,1960-05-19,72874315274,Enugu,Umuahia South,Ward 1
48669,Chika,Nwosu,1955-02-14,29668516122,Imo,Aba North,Ward 2
44181,Uche,Nwosu,1940-04-21,74549904530,Enugu,Umuahia North,Ward 4
30934,Uche,Obi,1953-10-05,41459332727,Enugu,Isiala Ngwa North,Ward 3
81989,Ada,Obi,1958-08-27,33918785191,Abia,Isiala Ngwa North,Ward 2
80341,Emeka,Umeh,1965-09-09,58713971870,Imo,Umuahia South,Ward 4
83912,Chinedu,Obi,1960-06-28,74064039106,Imo,Ohafia,Ward 1
17897,Ngozi,Okafor,1964-04-10,04622656766,Abia,Ohafia,Ward 2
55582,Ngozi,Umeh,1969-04-25,86823004786,Enugu,Aba South,Ward 2
70375,Amaka,Umeh,1951-02-07,43106903311,Enugu,Umuahia North,Ward 4
98083,Chinedu,Nwosu,1966-10-25,06738302843,Enugu,Isiala Ngwa North,Ward 3
88370,Amaka,Nwosu,1965-11-26,42836440892,Enugu,Ohafia,Ward 4
74962,Chinedu,Otti,1964-12-07,68566246287,Abia,Umuahia South,Ward 3
70689,Chinedu,Obi,1946-06-23,66882634351,Imo,Aba North,Ward 1
34966,Chinedu,Ibekwe,1964-01-10,69901398373,Imo,Aba North,Ward 1
34906,Ngozi,Okafor,1949-07-02,39363854678,Enugu,Aba North,Ward 3
57139,Bright,Okafor,1951-09-25,71753556093,Enugu,Umuahia South,Ward 1
82523,Chika,Ndukwe,1951-09-12,64235369378,Enugu,Ohafia,Ward 3
74044,Ada,Okafor,1951-07-18,25228728080,Abia,Ohafia,Ward 1
64053,Emeka,Nwosu,1940-04-14,12038750997,Enugu,Aba South,Ward 1
79758,Bright,Onyema,1940-04-18,00848408621,Abia,Isiala Ngwa North,Ward 2
35156,Chika,Obi,1950-10-23,45461567933,Imo,Ohafia,Ward 1
95182,Chinedu,Eze,1969-04-28,66687002176,Enugu,Aba North,Ward 1
15577,Ifeoma,Nwosu,1963-09-10,97401489025,Abia,Umuahia South,Ward 2
20084,Obinna,Umeh,1957-11-12,93968562185,Abia,Umuahia North,Ward 4
19963,Amaka,Ndukwe,1950-05-31,99650477358,Imo,Aba South,Ward 2
86791,Uche,Eze,1970-06-28,94311426265,Imo,Umuahia North,Ward 1
50405,Ada,Otti,1940-03-26,41212678886,Abia,Umuahia North,Ward 1
82642,Ngozi,Ndukwe,1955-11-16,95604661839,Enugu,Umuahia South,Ward 4
28198,Obinna,Ibekwe,1947-08-09,47212646471,Imo,Aba North,Ward 2
74985,Chika,Ndukwe,1968-01-14,37124065965,Imo,Aba North,Ward 4
87908,Emeka,Ibekwe,1969-03-15,59375265479,Abia,Aba North,Ward 4
61502,Amaka,Eze,1952-07-28,93982807374,Enugu,Umuahia North,Ward 4
75444,Emeka,Ibekwe,1970-03-10,34266179796,Enugu,Isiala Ngwa North,Ward 4
14818,Amaka,Obi,1964-05-21,91135290965,Imo,Umuahia North,Ward 1
43913,Ifeoma,Obi,1944-06-03,88993756798,Abia,Aba North,Ward 1
23703,Obinna,Onyema,1961-08-27,11254573875,Imo,Umuahia North,Ward 4
51800,Ngozi,Ibekwe,1960-04-17,01051238282,Imo,Isiala Ngwa North,Ward 4
40389,Uche,Umeh,1960-09-22,26609379660,Enugu,Umuahia South,Ward 2
18200,Chika,Eze,1952-06-26,82553714785,Enugu,Aba South,Ward 4
24972,Amaka,Otti,1966-05-01,79249912513,Imo,Umuahia North,Ward 2
28528,Bright,Onyema,1956-09-29,69296627828,Abia,Aba South,Ward 3
34523,Amaka,Okafor,1946-04-17,90507236887,Imo,Ohafia,Ward 4
68176,Ada,Umeh,1958-08-23,19034043842,Imo,Isiala Ngwa North,Ward 4
76952,Ngozi,Ndukwe,1964-08-28,14858078361,Enugu,Ohafia,Ward 2
14224,Ada,Ibekwe,1953-05-09,51713395962,Enugu,Umuahia South,Ward 2
17780,Chika,Otti,1949-04-13,84982544948,Enugu,Umuahia North,Ward 2
17770,Obinna,Umeh,1958-06-18,23253672946,Imo,Aba South,Ward 1
22202,Uche,Obi,1968-06-03,45775901751,Enugu,Aba South,Ward 2
37767,Ada,Ibekwe,1959-04-10,54589297500,Abia,Ohafia,Ward 4
26284,Emeka,Okafor,1940-09-23,70632424154,Abia,Aba North,Ward 2
61949,Obinna,Nwosu,1942-04-28,61103712938,Enugu,Aba South,Ward 1
55032,Ngozi,Onyema,1940-05-12,27136111554,Abia,Aba South,Ward 2
98753,Emeka,Eze,1968-10-11,89092753269,Enugu,Aba South,Ward 2
23168,Emeka,Eze,1943-11-21,96565234138,Enugu,Isiala Ngwa North,Ward 3
13515,Obinna,Nwosu,1970-12-21,89836403761,Abia,Aba South,Ward 1
11581,Amaka,Otti,1963-09-12,26965827109,Abia,Umuahia North,Ward 3
15220,Chinedu,Onyema,1949-09-04,84866618892,Imo,Umuahia North,Ward 3
77017,Ifeoma,Umeh,1943-07-18,85691463031,Imo,Umuahia North,Ward 4
89800,Chinedu,Ibekwe,1967-06-19,21020275884,Abia,Aba North,Ward 2
25473,Chinedu,Otti,1952-01-21,64814917785,Abia,Aba South,Ward 2
30618,Obinna,Eze,1956-06-29,91380003075,Imo,Umuahia South,Ward 2
82465,Uche,Nwosu,1941-08-02,53654195180,Abia,Umuahia South,Ward 1
19034,Ada,Ibekwe,1957-12-25,45187053494,Enugu,Isiala Ngwa North,Ward 2
58270,Chika,Okafor,1960-10-22,38320603850,Imo,Umuahia North,Ward 4
23624,Ifeoma,Obi,1953-10-17,36702410386,Enugu,Aba North,Ward 4
86122,Ngozi,Obi,1943-10-23,26199062344,Imo,Aba South,Ward 3
69343,Obinna,Nwosu,1954-04-08,13291212775,Imo,Umuahia North,Ward 3
69233,Obinna,Okafor,1949-04-24,41124903521,Enugu,Umuahia South,Ward 3
77300,Chinedu,Ibekwe,1957-10-10,42067883171,Abia,Umuahia North,Ward 1
39135,Emeka,Nwosu,1942-10-07,65199410137,Abia,Umuahia North,Ward 3
