citizen_id,first_name,last_name,date_of_birth,nin,state_of_origin,lga,ward,fingerprint_hash,face_hash,bank_account,bvn,payment_status,age,is_abia,is_60_plus,duplicate_fingerprint,duplicate_bank,fraud_flag,eligible
17897,Ngozi,Okafor,1964-04-10,4622656766,Abia,Ohafia,Ward 2,748870905,710021271,2809202428,1847870050,Pending,61,True,True,False,False,False,True
74962,Chinedu,Otti,1964-12-07,68566246287,Abia,Umuahia South,Ward 3,629561415,251786915,2799088117,5651982530,Pending,61,True,True,False,False,False,True
74044,Ada,Okafor,1951-07-18,25228728080,Abia,Ohafia,Ward 1,361917078,625200495,9594636887,6083318195,Pending,74,True,True,False,False,False,True
79758,Bright,Onyema,1940-04-18,848408621,Abia,Isiala Ngwa North,Ward 2,422909911,916616920,2137213865,7722005436,Pending,85,True,True,False,False,False,True
15577,Ifeoma,Nwosu,1963-09-10,97401489025,Abia,Umuahia South,Ward 2,690804839,245689489,6984902770,6353153136,Pending,62,True,True,False,False,False,True
20084,Obinna,Umeh,1957-11-12,93968562185,Abia,Umuahia North,Ward 4,206179285,790665343,3843098839,3631797062,Pending,68,True,True,False,False,False,True
50405,Ada,Otti,1940-03-26,41212678886,Abia,Umuahia North,Ward 1,670916578,924183605,8955439376,7762534929,Pending,85,True,True,False,False,False,True
43913,Ifeoma,Obi,1944-06-03,88993756798,Abia,Aba North,Ward 1,197636744,742668415,1117908075,4649893195,Pending,81,True,True,False,False,False,True
28528,Bright,Onyema,1956-09-29,69296627828,Abia,Aba South,Ward 3,966377394,502330059,3655647292,7116241124,Pending,69,True,True,False,False,False,True
37767,Ada,Ibekwe,1959-04-10,54589297500,Abia,Ohafia,Ward 4,776742877,710085301,6112535544,5525782841,Pending,66,True,True,False,False,False,True
26284,Emeka,Okafor,1940-09-23,70632424154,Abia,Aba North,Ward 2,698424036,770439175,9647598762,672752088,Pending,85,True,True,False,False,False,True
55032,Ngozi,Onyema,1940-05-12,27136111554,Abia,Aba South,Ward 2,788839404,891967770,1178006811,7028140693,Pending,85,True,True,False,False,False,True
11581,Amaka,Otti,1963-09-12,26965827109,Abia,Umuahia North,Ward 3,928299788,723214176,9688457831,5650455478,Pending,62,True,True,False,False,False,True
25473,Chinedu,Otti,1952-01-21,64814917785,Abia,Aba South,Ward 2,936594930,938562244,6632663416,9232648704,Pending,74,True,True,False,False,False,True
82465,Uche,Nwosu,1941-08-02,53654195180,Abia,Umuahia South,Ward 1,660355099,409255683,2241797497,4714627301,Pending,84,True,True,False,False,False,True
77300,Chinedu,Ibekwe,1957-10-10,42067883171,Abia,Umuahia North,Ward 1,621669253,975866588,1474350313,5213283389,Pending,68,True,True,False,False,False,True
39135,Emeka,Nwosu,1942-10-07,65199410137,Abia,Umuahia North,Ward 3,987059227,226960685,6502491630,8881671120,Pending,83,True,True,False,False,False,True
